'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'shi'shen'yuan 实审员
'shi'shi'di 实施地
'shi'shi'fang'shi 实施方式
'shi'shi'gai'zhuan'li 实施该专利
'shi'shi'he'tong 实施合同
'shi'shi'li 实施例
'shi'shi'qi'zhuan'li 实施其专利
'shi'shi'qiang'zhi'xu'ke 实施强制许可
'shi'shi'qiang'zhi'xu'ke'jue'ding 实施强制许可决定
'shi'shi'ren'ding 事实认定
'shi'shi'ren'ding'cuo'wu 事实认定错误
'shi'shi'tui'ding 事实推定
'shi'shi'xi'ze 实施细则
'shi'shi'xing'wei 事实行为
'shi'shi'xing'wei 实施行为
'shi'shi'xu'ke 实施许可
'shi'shi'xu'ke'he'tong 实施许可合同
'shi'shi'zhu'zhang 事实主张
'shi'ting'zi'liao 视听资料
'shi'tong 视同
'shi'tu'ming'cheng 视图名称
'shi'wei 视为
'shi'wei'che'hui 视为撤回
'shi'wei'che'hui'tong'zhi'shu 视为撤回通知书
'shi'wei'fang'qi 视为放弃
'shi'wei'fang'qi'qu'de'zhuan'li'quan 视为放弃取得专利权
'shi'wei'fang'qi'qu'de'zhuan'li'quan'de'quan'li 视为放弃取得专利权的权利
'shi'wei'fang'qi'qu'de'zhuan'li'quan'tong'zhi'shu 视为放弃取得专利权通知书
'shi'wei'gong'kai 视为公开
'shi'wei'song'da 视为送达
'shi'wei'wei'ban'li 视为未办理
'shi'wei'wei'ban'li'deng'ji'shou'xu 视为未办理登记手续
'shi'wei'wei'ban'li'jiao'fei'shou'xu 视为未办理缴费手续
'shi'wei'wei'ti'chu 视为未提出
'shi'wei'wei'ti'chu'qing'qiu 视为未提出请求
'shi'wei'wei'ti'chu'sheng'ming 视为未提出声明
'shi'wei'wei'ti'chu'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'qing'qiu 视为未提出实用新型专利检索报告请求
'shi'wei'wei'ti'chu'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'qing'qiu'tong'zhi'shu 视为未提出实用新型专利检索报告请求通知书
'shi'wei'wei'ti'chu'tong'zhi'shu 视为未提出通知书
'shi'wei'wei'ti'chu'zhong'zhi'qing'qiu 视为未提出中止请求
'shi'wei'wei'ti'chu'zhong'zhi'qing'qiu'tong'zhi'shu 视为未提出中止请求通知书
'shi'wei'wei'ti'jiao 视为未提交
'shi'wei'wei'ti'jiao'bao'cang 视为未提交保藏
'shi'wei'wei'wei'tuo 视为未委托
'shi'wei'wei'wei'tuo'zhuan'li'dai'li'ji'gou 视为未委托专利代理机构
'shi'wei'wei'wei'tuo'zhuan'li'dai'li'ji'gou'tong'zhi'shu 视为未委托专利代理机构通知书
'shi'wei'wei'yao'qiu 视为未要求
'shi'wei'wei'yao'qiu'ben'guo'you'xian'quan 视为未要求本国优先权
'shi'wei'wei'yao'qiu'ben'guo'you'xian'quan'tong'zhi'shu 视为未要求本国优先权通知书
'shi'wei'wei'yao'qiu'bu'sang'shi'xin'ying'xing'kuan'xian'qi 视为未要求不丧失新颖性宽限期
'shi'wei'wei'yao'qiu'bu'sang'shi'xin'ying'xing'kuan'xian'qi'tong'zhi'shu 视为未要求不丧失新颖性宽限期通知书
'shi'wei'wei'yao'qiu'bu'sang'shi'xin'ying'xing'tong'zhi'shu 视为未要求不丧失新颖性通知书
'shi'wei'wei'yao'qiu'wai'guo'you'xian'quan 视为未要求外国优先权
'shi'wei'wei'yao'qiu'wai'guo'you'xian'quan'tong'zhi'shu 视为未要求外国优先权通知书
'shi'wei'wei'yao'qiu'you'xian'quan 视为未要求优先权
'shi'wei'wei'yao'qiu'you'xian'quan'tong'zhi'shu 视为未要求优先权通知书
'shi'wei'yi'jing'song'da 视为已经送达
'shi'wei'zi'shi'ji'bu'cun'zai 视为自始即不存在
'shi'wu'suo 事务所
'shi'xian'ji'ben'xiang'tong'de'gong'neng 实现基本相同的功能
'shi'xiao 失效
'shi'xiao'ri 失效日
'shi'xiao'zhi'ri 失效之日
'shi'xiao'zhuan'li 失效专利
'shi'xing 试行
'shi'yan'shu'ju 实验数据
'shi'ying'xing'xiu'gai 适应性修改
'shi'yong'ban'fa 适用办法
'shi'yong'fa'lv'wen'ti 适用法律问题
'shi'yong'fan'wei 适用范围
'shi'yong'fang'fa 使用方法
'shi'yong'fang'shi'gong'kai 使用方式公开
'shi'yong'fei 使用费
'shi'yong'gai'zhuan'li'fang'fa 使用该专利方法
'shi'yong'gong'kai 使用公开
'shi'yong'gong'kai'ri 使用公开日
'shi'yong'gui'ze 使用规则
'shi'yong'qi'zhuan'li'fang'fa 使用其专利方法
'shi'yong'quan 使用权
'shi'yong'te'zheng 使用特征
'shi'yong'wai'guan'she'ji'de'chan'pin'ming'cheng 使用外观设计的产品名称
'shi'yong'wen'zi 适用文字
'shi'yong'xin'xing 实用新型
'shi'yong'xin'xing'ben'shen 实用新型本身
'shi'yong'xin'xing'bu 实用新型部
'shi'yong'xin'xing'deng'ji'yin'shua'fei 实用新型登记印刷费
'shi'yong'xin'xing'fu'shen'fei 实用新型复审费
'shi'yong'xin'xing'jian'suo'bao'gao'xing'shen'he'ge'tong'zhi'shu 实用新型检索报告形审合格通知书
'shi'yong'xin'xing'jian'suo'fei 实用新型检索费
'shi'yong'xin'xing'ming'cheng 实用新型名称
'shi'yong'xin'xing'nei'rong 实用新型内容
'shi'yong'xin'xing'nian'fei 实用新型年费
'shi'yong'xin'xing'nian'fei'zhi'na'jin 实用新型年费滞纳金
'shi'yong'xin'xing'qiang'zhi'xu'ke'qing'qiu'fei 实用新型强制许可请求费
'shi'yong'xin'xing'shen'cha'bu 实用新型审查部
'shi'yong'xin'xing'shen'qing'fei 实用新型申请费
'shi'yong'xin'xing'wu'xiao'xuan'gao'qing'qiu'fei 实用新型无效宣告请求费
'shi'yong'xin'xing'zheng'shu 实用新型证书
'shi'yong'xin'xing'zhi'du 实用新型制度
'shi'yong'xin'xing'zhu'ce 实用新型注册
'shi'yong'xin'xing'zhuan'li 实用新型专利
'shi'yong'xin'xing'zhuan'li'gong'bao 实用新型专利公报
'shi'yong'xin'xing'zhuan'li'jian'suo 实用新型专利检索
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao 实用新型专利检索报告
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'bu'zheng'tong'zhi'shu 实用新型专利检索报告补正通知书
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'fei 实用新型专利检索报告费
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'fu'he'yi'jian'tong'zhi'shu 实用新型专利检索报告复核意见通知书
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'qing'qiu 实用新型专利检索报告请求
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'qing'qiu'bu'zheng'tong'zhi'shu 实用新型专利检索报告请求补正通知书
'shi'yong'xin'xing'zhuan'li'jian'suo'bao'gao'qing'qiu'shu 实用新型专利检索报告请求书
'shi'yong'xin'xing'zhuan'li'qing'qiu'shu 实用新型专利请求书
'shi'yong'xin'xing'zhuan'li'quan'bu'fen'wu'xiao'xuan'gao'de'gong'gao 实用新型专利权部分无效宣告的公告
'shi'yong'xin'xing'zhuan'li'shen'qing 实用新型专利申请
'shi'yong'xin'xing'zhuan'li'shou'quan'gong'gao 实用新型专利授权公告
'shi'yong'xin'xing'zhuan'li'shuo'ming'shu 实用新型专利说明书
'shi'yong'xing 实用性
'shi'yong'xing 适用性
'shi'yong'xing'pan'duan 实用性判断
'shi'yong'xing'wei 使用行为
'shi'yong'xing'yao'qiu 实用性要求
'shi'yong'zheng'shu 实用证书
'shi'yong'zhuang'tai'can'kao'tu 使用状态参考图
'shi'yu'gong'ye'ying'yong 适于工业应用
'shi'zhi'nei'rong 实质内容
'shi'zhi'que'xian 实质缺陷
'shi'zhi'shang 实质上
'shi'zhi'shang'xiang'tong 实质上相同
'shi'zhi'shen'cha 实质审查
'shi'zhi'shen'cha'can'kao'zi'liao 实质审查参考资料
'shi'zhi'shen'cha'cheng'xu 实质审查程序
'shi'zhi'shen'cha'fei 实质审查费
'shi'zhi'shen'cha'qing'qiu 实质审查请求
'shi'zhi'shen'cha'qing'qiu'shu 实质审查请求书
'shi'zhi'tiao'jian 实质条件
'shi'zhi'xiang'tong 实质相同
'shi'zhi'xing'gong'kai 实质性公开
'shi'zhi'xing'que'xian 实质性缺陷
'shi'zhi'xing'te'dian 实质性特点
'shi'zhi'xing'te'dian'he'jin'bu 实质性特点和进步
'shou'bao'hu'de 受保护的
'shou'ci'di'jiao 首次递交
'shou'ci'fa'biao 首次发表
'shou'ci'shang'ye'li'yong 首次商业利用
'shou'ci'shang'ye'li'yong'zhi'ri 首次商业利用之日
'shou'ci'shen'cha 首次审查
'shou'ci'shen'qing 首次申请
'shou'ci'ti'jiao 首次提交
'shou'ci'tou'ru'shang'ye'li'yong 首次投入商业利用
'shou'ci'tou'ru'shang'ye'li'yong'zhi'ri 首次投入商业利用之日
'shou'ci'zhan'chu 首次展出
'shou'dao'ren'min'fa'yuan'pan'jue'shu'de'tong'zhi'shu 收到人民法院判决书的通知书
'shou'dao'ri 收到日
'shou'dao'tong'zhi'zhi'ri 收到通知之日
'shou'dao'zhuan'li'guan'li'ji'guan'tiao'chu'jue'ding'de'tong'zhi'shu 收到专利管理机关调处决定的通知书
'shou'dao'zhuan'li'shen'qing'wen'jian'zhi'ri 收到专利申请文件之日
'shou'gong'jian'suo 手工检索
'shou'jian 手检
'shou'jian'fang'shi 手检方式
'shou'jian'ren 收件人
'shou'li 受理
'shou'li'ben 受理本
'shou'li'cheng'xu 受理程序
'shou'li'chuang'kou 受理窗口
'shou'li'da'ting 受理大厅
'shou'li'dan'wei 受理单位
'shou'li'di'dian 受理地点
'shou'li'fa'ming'zhuan'li'shen'qing'yi'jiao'guo'fang'zhuan'li'ju'shen'cha'zhuan'jie'shu 受理发明专利申请移交国防专利局审查转接书
'shou'li'ji'gou 受理机构
'shou'li'ji'guan 受理机关
'shou'li'ju 受理局
'shou'li'ju'zhi'nan 受理局指南
'shou'li'tiao'jian 受理条件
'shou'li'tong'zhi'shu 受理通知书
'shou'li'wen'jian 受理文件
'shou'quan 授权
'shou'quan'gong'bao'dai 授权公报袋
'shou'quan'gong'gao 授权公告
'shou'quan'gong'gao'ri 授权公告日
'shou'quan'hou'bian'geng 授权后变更
'shou'quan'liang 授权量
'shou'quan'lv 授权率
'shou'quan'ri 授权日
'shou'quan'tiao'jian 授权条件
'shou'quan'tong'zhi'shu 授权通知书
'shou'quan'wen'ben 授权文本
'shou'quan'zhi'ri 授权之日
'shou'rang 受让
'shou'rang'fang 受让方
'shou'rang'ren 受让人
'shou'tuo'fang 受托方
'shou'tuo'ren 受托人
'shou'wei'tuo'fang 受委托方
'shou'wei'tuo'ren 受委托人
'shou'wen'ri 收文日
'shou'xu'fei 手续费
'shou'xu'he'ge 手续合格
'shou'xu'he'ge'tong'zhi'shu 手续合格通知书
'shou'xu'wen'jian'shen'pi'tong'zhi'shu 手续文件审批通知书
'shou'yi'ren 受益人
'shou'yu'fa'ming'zhuan'li'quan 授予发明专利权
'shou'yu'fa'ming'zhuan'li'quan'tong'zhi'shu 授予发明专利权通知书
'shou'yu'fa'ming'zhuan'li'quan'tong'zhi'shu'geng'zheng'tong'zhi'shu 授予发明专利权通知书更正通知书
'shou'yu'guo'fang'zhuan'li'quan 授予国防专利权
'shou'yu'shi'yong'xin'xing'zhuan'li'quan 授予实用新型专利权
'shou'yu'shi'yong'xin'xing'zhuan'li'quan'ji'ban'li'deng'ji'shou'xu'tong'zhi'shu 授予实用新型专利权及办理登记手续通知书
'shou'yu'shi'yong'xin'xing'zhuan'li'quan'tong'zhi 授予实用新型专利权通知
'shou'yu'tiao'jian 授予条件
'shou'yu'wai'guan'she'ji'zhuan'li'quan 授予外观设计专利权
'shou'yu'wai'guan'she'ji'zhuan'li'quan'ji'ban'li'deng'ji'shou'xu'tong'zhi'shu 授予外观设计专利权及办理登记手续通知书
'shou'yu'wai'guan'she'ji'zhuan'li'quan'tong'zhi 授予外观设计专利权通知
'shou'yu'zhuan'li 授予专利
'shou'yu'zhuan'li'quan 授予专利权
'shou'yu'zhuan'li'quan'tong'zhi'shu 授予专利权通知书
'shou'zeng'yu'ren 受赠予人
'shu'ju'biao'zhun 数据标准
'shu'ju'ku'ming'cheng 数据库名称
'shu'mian 书面
'shu'mian'da'fu 书面答复
'shu'mian'gong'kai 书面公开
'shu'mian'gong'kai'wen'jian 书面公开文件
'shu'mian'he'tong 书面合同
'shu'mian'shen'cha'yuan'ze 书面审查原则
'shu'mian'shen'qing 书面申请
'shu'mian'sheng'ming 书面声明
'shu'mian'shi'shi'he'tong 书面实施合同
'shu'mian'shi'shi'xu'ke'he'tong 书面实施许可合同
'shu'mian'wei'tuo'shu 书面委托书
'shu'mian'wen'jian 书面文件
'shu'mian'xing'shi 书面形式
'shu'mian'yi'jian 书面意见
'shu'mian'zheng'ming 书面证明
'shu'mian'zheng'yan 书面证言
'shu'ming'quan 署名权
'shu'ru'ri'qi 输入日期
'shu'xie'gui'ze 书写规则
'shu'xue'shi 数学式
'shu'yu'biao 术语表
'shu'yu'yi'ge'zong'de'fa'ming'gou'si 属于一个总的发明构思
'shu'zheng 书证
'shu'zheng'xing'shi 书证形式
'shu'zheng'yuan'jian 书证原件
'shu'zhi'fan'wei 数值范围
'shu'zi'biao'zhi'fu 数字标识符
'shuang'bian'xie'yi 双边协议
'shuang'chong'zhuan'li 双重专利
'shuang'fang'dang'shi'ren 双方当事人
'shuang'mian'da'yin 双面打印
'shui'zhu'zhang'shui'ju'zheng 谁主张谁举证
'shun'xu'bian'hao 顺序编号
'shun'xu'ma 顺序码
'shun'xu'shen'cha'yuan'ze 顺序审查原则
'shuo'li'bu'chong'fen 说理不充分
'shuo'li'guo'cheng 说理过程
'shuo'ming'li'you 说明理由
'shuo'ming'shu 说明书
'shuo'ming'shu'fu'jia'fei 说明书附加费
'shuo'ming'shu'fu'tu 说明书附图
'shuo'ming'shu'gong'kai'de'fan'wei 说明书公开的范围
'shuo'ming'shu'wen'zi'bu'fen 说明书文字部分
'shuo'ming'shu'ye'shu 说明书页数
'shuo'ming'shu'zhai'yao 说明书摘要
'si'fa'cheng'xu 司法程序
'si'fa'jie'shi 司法解释
'si'fa'shen'cha 司法审查
'si'lei'cuo'wu 四类错误
'si'te'la'si'bao'xie'ding 斯特拉斯堡协定
'si'tong 四通
'si'tong'biao 四通表
'si'tong'biao'ge 四通表格
'si'tong'zheng'wen 四通正文
'song'da 送达
'song'da'ri 送达日
'su'ji 溯及
'su'ji'ji'wang 溯及既往
'su'ji'yi'wang 溯及以往
'su'qian 诉前
'su'qian'bao'quan 诉前保全
'su'qian'cai'chan'bao'quan 诉前财产保全
'su'song'cheng'xu 诉讼程序
'su'song'di'wei 诉讼地位
'su'song'fa 诉讼法
'su'song'shi'xiao 诉讼时效
'su'song'zhong'zhi 诉讼中止
'suo'jie'jue'de'ji'shu'wen'ti 所解决的技术问题
'suo'que'ding'de'fan'wei 所确定的范围
'suo'shu'guo 所属国
'suo'shu'ji'shu'ling'yu 所属技术领域
'suo'shu'ji'shu'ling'yu'de'ji'shu'ren'yuan 所属技术领域的技术人员
'suo'yao'jie'jue'de'ji'shu'wen'ti 所要解决的技术问题
'suo'yao'qiu'bao'hu'de 所要求保护的
'suo'yao'qiu'bao'hu'de'chan'pin 所要求保护的产品
'suo'yao'qiu'bao'hu'de'fang'fa 所要求保护的方法
'suo'yao'qiu'bao'hu'de'ji'shu'fang'an 所要求保护的技术方案
'ta'ren 他人
'ta'ren'wei'jing'shen'qing'ren'tong'yi 他人未经申请人同意
'ta'ren'zai'xian'qu'de'de'he'fa'quan'li 他人在先取得的合法权利
'ta'ren'zhuan'li 他人专利
'ta'ren'zhuan'li'chan'pin 他人专利产品
'ta'ren'zhuan'li'fang'fa 他人专利方法
'ta'ren'zhuan'li'quan 他人专利权
'te'ding'de 特定的
'te'ding'dui'xiang 特定对象
'te'ding'duo'shu 特定多数
'te'ding'fan'wei 特定范围
'te'ding'fang'shi 特定方式
'te'ding'guan'xi 特定关系
'te'ding'guan'xi'ren 特定关系人
'te'ding'ji'shu'ling'yu 特定技术领域
'te'ding'ji'shu'te'zheng 特定技术特征
'te'ding'ji'shu'zhu'ti 特定技术主题
'te'ding'jie'gou 特定结构
'te'ding'nei'rong 特定内容
'te'ding'ren 特定人
'te'ding'ren'qun 特定人群
'te'ding'ren'yuan 特定人员
'te'ding'tiao'jian 特定条件
'te'ding'wen'xian'lei'xing 特定文献类型
'te'ding'xing'zhuang 特定形状
'te'ding'yong'tu 特定用途
'te'ding'zhi 特定值
'te'ding'zu'cheng 特定组成
'te'shu'fen'lei'wei'zhi 特殊分类位置
'te'shu'gui'ze 特殊规则
'te'shu'yong'tu 特殊用途
'te'zheng'bu'fen 特征部分
'te'zheng'fen'xi 特征分析
'te'zheng'fen'xi'biao 特征分析表
'te'zheng'fen'xi'fa 特征分析法
'te'zheng'zu'he'fang'shi 特征组合方式
'ti'an 提案
'ti'an'dan 提案单
'ti'chu'geng'zheng'qing'qiu'tong'zhi'shu 提出更正请求通知书
'ti'dai'fang'shi 替代方式
'ti'dai'yao'su 替代要素
'ti'dian 提点
'ti'gong'you'xian'quan'wen'jian'yi'wen'de'tong'zhi'shu 提供优先权文件译文的通知书
'ti'huan'ye 替换页
'ti'jiao 提交
'ti'jiao'cai'jue 提交裁决
'ti'jiao'chu'shi'cai'jue 提交处室裁决
'ti'jiao'fen'lei'cai'jue 提交分类裁决
'ti'jiao'ri 提交日
'ti'jiao'zi'liao'tong'zhi'shu 提交资料通知书
'ti'qian'gong'bu 提前公布
'ti'qian'gong'bu'sheng'ming 提前公布声明
'ti'qian'gong'kai 提前公开
'ti'qian'gong'kai'sheng'ming 提前公开声明
'ti'qian'zhong'zhi 提前终止
'tian'li'pu 田力普
'tian'ran'chan'wu 天然产物
'tian'ran'wu'zhi 天然物质
'tiao'chu 调处
'tiao'chu'jue'ding 调处决定
'tiao'jie 调解
'tiao'jie'zhuan'li'jiu'fen 调解专利纠纷
'tiao'kuan 条款
'ting'zheng'yuan'ze 听证原则
'ting'zhi'qin'fan'zhuan'li'quan 停止侵犯专利权
'ting'zhi'qin'fan'zhuan'li'quan'xing'wei 停止侵犯专利权行为
'ting'zhi'qin'quan 停止侵权
'ting'zhi'qin'quan'xing'wei 停止侵权行为
'ting'zhi'zhi'xing 停止执行
'ting'zhi'zhi'xing'tong'zhi'shu 停止执行通知书
'tong'deng'tiao'jian 同等条件
'tong'deng'xiao'li 同等效力
'tong'hou'che'hui 通后撤回
'tong'hou'shi'che 通后视撤
'tong'hou'zhu'che 通后主撤
'tong'lei'du'li'quan'li'yao'qiu 同类独立权利要求
'tong'lei'quan'li'yao'qiu 同类权利要求
'tong'qian'che'hui 通前撤回
'tong'shi 通式
'tong'shi'chu'shou 同时出售
'tong'shi'shi'yong 同时使用
'tong'xin'bu 通信部
'tong'xin'fa'ming'bu 通信发明部
'tong'xin'fa'ming'shen'cha'bu 通信发明审查部
'tong'yang'de'fa'ming 同样的发明
'tong'yang'de'fa'ming'chuang'zao 同样的发明创造
'tong'yang'de'fa'ming'huo'zhe'shi'yong'xin'xing 同样的发明或者实用新型
'tong'yang'de'shi'yong'xin'xing 同样的实用新型
'tong'yi'lei'bie 同一类别
'tong'yi'lei'bie'de'chan'pin 同一类别的产品
'tong'yi'shen'qing'de'gong'bu'shu'ju 同一申请的公布数据
'tong'yi'shen'qing'ren 同一申请人
'tong'yi'xiao'lei 同一小类
'tong'yi'zu'cheng'bu'fen 同一组成部分
'tong'yong'gui'ze 通用规则
'tong'zhi'dan 通知单
'tong'zhi'qing'qiu'ren 通知请求人
'tong'zhi'shen'qing'ren 通知申请人
'tong'zhi'shu 通知书
'tong'zhi'shu'biao'ge 通知书表格
'tong'zhi'shu'de'yao'qiu 通知书的要求
'tong'zhi'shu'fu'ye 通知书附页
'tong'zhi'shu'yao'qiu 通知书要求
'tong'zhi'shu'zheng'wen 通知书正文
'tong'zu'shen'qing 同族申请
'tong'zu'zhuan'li 同族专利
'tou'ru'shang'ye'li'yong 投入商业利用
'tu'an'xiang'jin'si 图案相近似
'tu'chu'de'shi'zhi'xing'te'dian 突出的实质性特点
'tu'chu'de'shi'zhi'xing'te'dian'he'xian'zhu'de'jin'bu 突出的实质性特点和显著的进步
'tu'mian 图面
'tu'shi 图式
'tu'xiang'wen'ben 图像文本
'tu'yang 图样
'tui'ding 推定
'tui'ding'shi'shi 推定事实
'tui'ding'shou'dao 推定收到
'tui'ding'shou'dao'ri 推定收到日
'tui'ding'wei 推定为
'tui'guang'ying'yong 推广应用
'tui'hui'jian'suo'fei'de'tong'zhi'shu 退回检索费的通知书
'tui'jian 退件
'tui'kuan'qing'qiu 退款请求
'tui'kuan'shen'pi 退款审批
'tui'kuan'shen'pi'tong'zhi'shu 退款审批通知书
'tui'kuan'tong'zhi'shu 退款通知书
'wai'bu'zheng'ju 外部证据
'wai'guan'she'ji 外观设计
'wai'guan'she'ji'bu 外观设计部
'wai'guan'she'ji'bu'xiang'jin'si 外观设计不相近似
'wai'guan'she'ji'chan'pin'fen'lei'biao 外观设计产品分类表
'wai'guan'she'ji'deng'ji'yin'shua'fei 外观设计登记印刷费
'wai'guan'she'ji'fa 外观设计法
'wai'guan'she'ji'fen'lei 外观设计分类
'wai'guan'she'ji'fen'lei'biao 外观设计分类表
'wai'guan'she'ji'fu'shen'fei 外观设计复审费
'wai'guan'she'ji'guo'ji'fen'lei 外观设计国际分类
'wai'guan'she'ji'jian'suo'bao'gao 外观设计检索报告
'wai'guan'she'ji'jian'yao'shuo'ming 外观设计简要说明
'wai'guan'she'ji'nian'fei 外观设计年费
'wai'guan'she'ji'nian'fei'zhi'na'jin 外观设计年费滞纳金
'wai'guan'she'ji'shen'cha'bu 外观设计审查部
'wai'guan'she'ji'shen'cha'bu'dui'xing'zheng'fu'yi'de'da'fu'yi'jian 外观设计审查部对行政复议的答复意见
'wai'guan'she'ji'shen'qing'fei 外观设计申请费
'wai'guan'she'ji'tu'pian'huo'zhe'zhao'pian 外观设计图片或者照片
'wai'guan'she'ji'wu'xiao'xuan'gao'qing'qiu'fei 外观设计无效宣告请求费
'wai'guan'she'ji'xiang'jin'si 外观设计相近似
'wai'guan'she'ji'xiang'tong 外观设计相同
'wai'guan'she'ji'zhuan'li 外观设计专利
'wai'guan'she'ji'zhuan'li'chan'pin 外观设计专利产品
'wai'guan'she'ji'zhuan'li'dan'xing'ben 外观设计专利单行本
'wai'guan'she'ji'zhuan'li'gong'bao 外观设计专利公报
'wai'guan'she'ji'zhuan'li'qing'qiu'shu 外观设计专利请求书
'wai'guan'she'ji'zhuan'li'quan'bu'fen'wu'xiao'xuan'gao'de'gong'gao 外观设计专利权部分无效宣告的公告
'wai'guan'she'ji'zhuan'li'shen'qing 外观设计专利申请
'wai'guan'she'ji'zhuan'li'shi'wu 外观设计专利事务
'wai'guan'she'ji'zhuan'li'shou'quan'gong'gao 外观设计专利授权公告
'wai'guan'she'ji'zhuan'li'wen'xian'geng'zheng'ri'qi 外观设计专利文献更正日期
'wai'guan'she'ji'zhuan'li'zhuang'tai'ji'suan'ji'geng'zheng'dan 外观设计专利状态计算机更正单
'wai'guo'bu'fen'you'xian'quan 外国部分优先权
'wai'guo'duo'xiang'you'xian'quan 外国多项优先权
'wai'guo'shou'ci'shen'qing 外国首次申请
'wai'guo'you'xian'quan 外国优先权
'wai'ke'shou'shu'fang'fa 外科手术方法
'wai'wen'fei'zhuan'li'wen'xian 外文非专利文献
'wai'wen'fei'zhuan'li'wen'xian'ku 外文非专利文献库
'wai'wen'fei'zhuan'li'wen'xian'wen'zhai'ku 外文非专利文献文摘库
'wai'wen'gong'bu 外文公布
'wai'wen'ku 外文库
'wai'wen'qi'kan 外文期刊
'wai'wen'shu'ju'ku 外文数据库
'wai'wen'wen'xian 外文文献
'wai'wen'zheng'ju 外文证据
'wai'wen'zheng'ju'chu'li'tong'zhi'shu 外文证据处理通知书
'wai'wen'zheng'ju'shi'wei'wei'ti'chu'tong'zhi'shu 外文证据视为未提出通知书
'wai'wen'zhuan'li'shu'ju'ku 外文专利数据库
'wai'wen'zhuan'li'wen'xian 外文专利文献
'wai'wen'zhuan'li'wen'xian'shu'ju'ku 外文专利文献数据库
'wan'cheng'fang 完成方
'wan'fang 万方
'wan'fang'shu'ju'zi'yuan'xi'tong 万方数据资源系统
'wan'quan'xiang'tong 完全相同
'wan'zheng'de'zheng'ju'lian 完整的证据链
'wang'jing'chuan 王景川
'wei'an'shi'jiao'na 未按时缴纳
'wei'ban'li 未办理
'wei'bei'shou'yu'zhuan'li'quan 未被授予专利权
'wei'bei'zi'ran'gui'lv 违背自然规律
'wei'bu'jiao 未补交
'wei'bu'zheng 未补正
'wei'chi'bo'hui'jue'ding 维持驳回决定
'wei'chi'fei 维持费
'wei'chi'yuan'bo'hui'jue'ding 维持原驳回决定
'wei'chi'yuan'jue'ding 维持原决定
'wei'chi'zhuan'li'quan 维持专利权
'wei'chi'zhuan'li'quan'you'xiao 维持专利权有效
'wei'chong'fen'shi'shi 未充分实施
'wei'chu'xian 未出现
'wei'da'fu 未答复
'wei'de'dao'shuo'ming'shu'de'zhi'chi 未得到说明书的支持
'wei'fan'guo'jia'fa'lv 违反国家法律
'wei'fan'she'hui'gong'de 违反社会公德
'wei'fu'song 未附送
'wei'gong'zhong'suo'zhi 为公众所知
'wei'guo'ji'chu'bu'shen'cha'de'mu'di'ti'jiao'yi'wen'de'tong'zhi'shu 为国际初步审查的目的提交译文的通知书
'wei'ji'shu'ju'xiu'gai'liu'cheng'dan 微机数据修改流程单
'wei'jiao'na 未缴纳
'wei'jiao'zu 未缴足
'wei'jing 未经
'wei'jing'guo'ji'chu'bu'shen'cha 未经国际初步审查
'wei'jing'guo'ji'chu'bu'shen'cha'bu'fen 未经国际初步审查部分
'wei'jing'guo'ji'chu'shen 未经国际初审
'wei'jing'guo'ji'chu'shen'bu'fen 未经国际初审部分
'wei'jing'guo'ji'jian'suo 未经国际检索
'wei'jing'jian'suo'bu'fen 未经检索部分
'wei'jing'shen'qing'ren'tong'yi 未经申请人同意
'wei'jing'xu'ke 未经许可
'wei'jing'zhuan'li'quan'ren'tong'yi 未经专利权人同意
'wei'jing'zhuan'li'quan'ren'xu'ke 未经专利权人许可
'wei'man'shi'ba'ge'yue 未满十八个月
'wei'sheng'chan'jing'ying'mu'di 为生产经营目的
'wei'sheng'wu'fa'ming 微生物发明
'wei'sheng'wu'jun'zhong'shi'wei'wei'bao'cang'tong'zhi'shu 微生物菌种视为未保藏通知书
'wei'shi'shi 未实施
'wei'shi'yong'zhong'wen 未使用中文
'wei'shou'dao'guo'ji'chu'bu'shen'cha'bao'gao'de'tong'zhi 未收到国际初步审查报告的通知
'wei'song'da 未送达
'wei'ti'chu 未提出
'wei'ti'chu'yi'yi 未提出异议
'wei'ti'ji 未提及
'wei'ti'jiao 未提交
'wei'tong 未通
'wei'tuo'dai'li 委托代理
'wei'tuo'fang 委托方
'wei'tuo'he'tong 委托合同
'wei'tuo'kai'fa 委托开发
'wei'tuo'kai'fa'he'tong 委托开发合同
'wei'tuo'quan'xian 委托权限
'wei'tuo'ren 委托人
'wei'tuo'shi'xiang 委托事项
'wei'tuo'shou'quan 委托授权
'wei'tuo'shu 委托书
'wei'tuo'wan'cheng 委托完成
'wei'tuo'zhuan'li'dai'li'ji'gou 委托专利代理机构
'wei'tuo'zhuan'li'dai'li'ji'gou'shen'pi'tong'zhi'shu 委托专利代理机构审批通知书
'wei'wan'cheng'zhuang'tai 未完成状态
'wei'xie'ming 未写明
